"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12149","Verify navigating back to dashboard page from cart","chromium","2026-01-19","passed","2026-01-19","","Cart_Page\cartPage.spec.js","",""
"","8399","Login with valid credentials@login","chromium","2026-01-19","passed","2026-01-19","","Login_Page\loginPage.spec.js","",""
"","10021","Verify product filter: Price (low to high)","chromium","2026-01-19","passed","2026-01-19","","Dashboard_Page\dashboardPage.spec.js","",""
"","10607","Verify finishing checkout process and order confirmation","chromium","2026-01-19","passed","2026-01-19","","Cart_Page\cartPage.spec.js","",""
"","8932","Verify adding product to cart by name","chromium","2026-01-19","passed","2026-01-19","","Dashboard_Page\dashboardPage.spec.js","",""
"","7457","Login with invalid credentials@login","chromium","2026-01-19","passed","2026-01-19","","Login_Page\loginPage.spec.js","",""
"","9815","Verify product filter: Names (A to Z)","chromium","2026-01-19","passed","2026-01-19","","Dashboard_Page\dashboardPage.spec.js","",""
"","12721","Verify checkout process from cart by performing cancel in first step","chromium","2026-01-19","passed","2026-01-19","","Cart_Page\cartPage.spec.js","",""
"","9653","Verify product filter: Price (high to low)","chromium","2026-01-19","passed","2026-01-19","","Dashboard_Page\dashboardPage.spec.js","",""
"","13871","Verify checkout process from cart to order confirmation","chromium","2026-01-19","passed","2026-01-19","","Cart_Page\cartPage.spec.js","",""
"","11865","Verify navigating to cart page from dashboard","chromium","2026-01-19","passed","2026-01-19","","Cart_Page\cartPage.spec.js","",""
"","13599","Verify checkout process from cart by performing cancel in second step","chromium","2026-01-19","passed","2026-01-19","","Cart_Page\cartPage.spec.js","",""
"","11643","Verify Logout Menu button","chromium","2026-01-19","passed","2026-01-19","","Dashboard_Page\dashboardPage.spec.js","",""
"","20780","Verify About Menu button","chromium","2026-01-19","passed","2026-01-19","","Dashboard_Page\dashboardPage.spec.js","",""
"","12068","Verify removing product from cart by name","chromium","2026-01-19","passed","2026-01-19","","Cart_Page\cartPage.spec.js","",""
"","9496","Verify product filter: Names (Z to A)","chromium","2026-01-19","passed","2026-01-19","","Dashboard_Page\dashboardPage.spec.js","",""
"","12755","Verify Reset App State Menu button","chromium","2026-01-19","passed","2026-01-19","","Dashboard_Page\dashboardPage.spec.js","",""
"","11065","Verify All Items Menu button","chromium","2026-01-19","passed","2026-01-19","","Dashboard_Page\dashboardPage.spec.js","",""
